病例,数据组,模态,状态,影像路径,标签路径,第1轴体素数,第1轴间距_mm,第1轴覆盖_mm,第2轴体素数,第2轴间距_mm,第2轴覆盖_mm,第3轴体素数,第3轴间距_mm,第3轴覆盖_mm,原始存储类型,文件缩放斜率,文件缩放截距,方向代码,空间单位,影像最小值,影像最大值,抽样P1,抽样中位数,抽样P99,强度抽样数,影像非有限体素数,标签体素体积_ml,体积计算依据,问题,影像SHA256,标签SHA256
Case1001,A ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1001_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1001_label.nii.gz,512,0.35546875,182.0,512,0.35546875,182.0,363,0.44999998807907104,163.3499956727028,int16,1.0,-1024.0,LAS,mm,-1024.0,3071.0,-1024.0,-117.0,617.0,199913,0,5.6861112995647984e-05,首选空间矩阵行列式,,0ba6cebe05dbaed4a89821522c43830070a8841ecd9036fc972a8dda9a42e0c7,529547a4679e0b6e0441b38ae4418dcd1e4de6ca5d6efeac3795caee8988d15f
Case1002,A ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1002_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1002_label.nii.gz,512,0.4882810115814209,249.9998779296875,512,0.4882810115814209,249.9998779296875,239,0.625,149.375,int16,1.0,-1024.0,LAS,mm,-3024.0,1438.0,-3024.0,-858.0,520.0,199530,0,0.0001490114664193598,首选空间矩阵行列式,,64c701188dadc2597e344b8b7629b10fb31611e67ddca12d3565f8873c773dc8,fb4d43e692ddc59cf974c29549cd7d9def450885e50f0ce3841c2bd38e1cd145
Case1003,A ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1003_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1003_label.nii.gz,512,0.302734375,155.0,512,0.302734375,155.0,298,0.44999998807907104,134.09999644756317,int16,1.0,-1024.0,LAS,mm,-1024.0,3071.0,-1024.0,-119.0,527.0,199793,0,4.124164472045778e-05,首选空间矩阵行列式,,6fc73d087ed1c4e085f92994b0c3709aaee9b0aaed7c6254c81b00b76a9d23b3,1779cb39157d4a2eb8e38d89c40fa3845f0523ef645fcebfdf4c6cb9afb1f83c
Case1004,A ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1004_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1004_label.nii.gz,512,0.3203119933605194,163.99974060058594,512,0.3203119933605194,163.99974060058594,200,0.625,125.0,int16,1.0,-1024.0,LAS,mm,-3022.0,1398.0,-3022.0,-759.0,608.0,199350,0,6.412485818161838e-05,首选空间矩阵行列式,,12b426e83d63da8013bfdd957a10546c4233479a664515b47ffeaa39b5427a6d,46f29e3f960d6778558cb319d9aae22a4df0a1cee4b4869f09126b06204793c5
Case1005,A ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1005_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1005_label.nii.gz,512,0.4882810115814209,249.9998779296875,512,0.4882810115814209,249.9998779296875,177,0.625,110.625,int16,1.0,-1024.0,LAS,mm,-3022.0,1529.0,-3022.0,-776.0,468.0,199998,0,0.0001490114664193598,首选空间矩阵行列式,,36bb84a21d4e01b12d477b6837b22525bfa369e16bc9ac4a8a25d54fcae14a47,b9810037a04f76cd9729fd8b6b3d8cb98872bf697692f847dda7f5971ffbab63
Case1006,A ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1006_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1006_label.nii.gz,512,0.4882810115814209,249.9998779296875,512,0.4882810115814209,249.9998779296875,248,0.625,155.0,int16,1.0,-1024.0,LAS,mm,-3022.0,3006.0,-3022.0,-574.0,467.0,199423,0,0.0001490114664193598,首选空间矩阵行列式,,fb912f0daaa8342b1cb798e51903cfdc5ce7a15c988404d0e0532904c0e2f1ca,4eec6d333d6a0fc114e810e2fd28e03482e968420bf846ead9e81e421251c851
Case1007,A ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1007_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1007_label.nii.gz,512,0.43554699420928955,223.00006103515625,512,0.43554699420928955,223.00006103515625,243,0.625,151.875,int16,1.0,-1024.0,LAS,mm,-3022.0,1534.0,-3022.0,-101.0,497.10999999998603,199690,0,0.00011856324010296683,首选空间矩阵行列式,,3c0b7721d001f25185c6097851c988d4e4791b857f2146b67522dbaeef848926,242c25b94384c933fff850e89f8479d16950ae7b19f71ac7a66ec85f6003a5a8
Case1008,A ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1008_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1008_label.nii.gz,512,0.4375,224.0,512,0.4375,224.0,222,0.625,138.75,int16,1.0,-1024.0,LAS,mm,-3024.0,1663.0,-3024.0,-77.0,623.0,199987,0,0.00011962890624999998,首选空间矩阵行列式,,d4e69f45520246233857353f8f8a6dbf38c9d2aec7adb52a53c5780eaab55a30,251ed9d0644331f4bcbab8e834c53b874686fbbd7d7bd9db1c2bf5c1ebc8152a
Case1009,A ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1009_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1009_label.nii.gz,512,0.4882810115814209,249.9998779296875,512,0.4882810115814209,249.9998779296875,293,0.625,183.125,int16,1.0,-1024.0,LAS,mm,-3022.0,3120.0,-3022.0,-400.0,489.0,199502,0,0.0001490114664193598,首选空间矩阵行列式,,46e513658418a1256437a9931ba95ef55f15d6fba78f8cbf2c826a22b6fc4398,c234f0b1de4be9e8709c00b2ed701d401644bd3f0b2f8ac097e9a52367237ed5
Case1010,A ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1010_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1010_label.nii.gz,512,0.5058590173721313,258.99981689453125,512,0.5058590173721313,258.99981689453125,274,0.625,171.25,int16,1.0,-1024.0,LAS,mm,-3022.0,2855.0,-3022.0,-724.0,507.0,199521,0,0.00015993334091043642,首选空间矩阵行列式,,73879d4a49397858d4dee29181e46f4f6e2ac04c6ba4a062c54b02f4ce946fff,ebf1c1563be6fbeeb7c84adf30523e782c3764756079101ef31ffb5a8d489783
Case1011,A ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1011_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1011_label.nii.gz,512,0.38867199420928955,199.00006103515625,512,0.38867199420928955,199.00006103515625,239,0.625,149.375,int16,1.0,-1024.0,LAS,mm,-3022.0,2530.0,-3022.0,-787.0,530.0,199530,0,9.441619942664124e-05,首选空间矩阵行列式,,2ecf48250041360c712bb2520d5a6720364c328cafd7d3cb18c3507878dc3006,1f87edb83bba14030bc81141298b1dbee1f5b6c6c33e47d7c8a260a5619493cd
Case1012,A ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1012_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1012_label.nii.gz,512,0.4882810115814209,249.9998779296875,512,0.4882810115814209,249.9998779296875,177,0.625,110.625,int16,1.0,-1024.0,LAS,mm,-3022.0,1468.0,-3022.0,-775.0,472.0,199998,0,0.0001490114664193598,首选空间矩阵行列式,,2d0b07a6aa2b6785789a9cdb9bd3546a94f75c330783dff3184eb7e4f5060cd5,b47b6b9b2a51eb8932fa84f99be3d6215c7c9e2c909f3827c3537b090d807fc4
Case1013,A ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1013_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1013_label.nii.gz,512,0.43945300579071045,224.99993896484375,512,0.43945300579071045,224.99993896484375,211,0.625,131.875,int16,1.0,-1024.0,LAS,mm,-3022.0,1500.0,-3022.0,-757.0,411.0,199684,0,0.00012069934018655638,首选空间矩阵行列式,,e7c62def69685a6aafd5a4143f7f4c8d85bdb7f8ecb8516317dd8a87cc0f7682,25aaec5b927256b8cfb10e3d4b3a963a90eb4d6dd144d385ea986587b8acf888
Case1014,A ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1014_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1014_label.nii.gz,512,0.28125,144.0,512,0.28125,144.0,358,0.44999998807907104,161.09999573230743,int16,1.0,-1024.0,LAS,mm,-1024.0,2483.0,-1024.0,-841.0,522.0,199676,0,3.559570218203589e-05,首选空间矩阵行列式,,1d4e1805a3ee52c2338b966b0dbd3758a20c2c8d11561b78d819de6ecb12434c,cc16737aab0532af56e3434aa64e8166f0968d08a9b17e2f45f1c695965e9306
Case1015,A ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1015_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1015_label.nii.gz,512,0.5644530057907104,288.99993896484375,512,0.5644530057907104,288.99993896484375,300,0.625,187.5,int16,1.0,-1024.0,LAS,mm,-3024.0,2216.0,-3024.0,-860.0,483.0,199603,0,0.0001991294973413549,首选空间矩阵行列式,,a116e6f53ec2225eeec758277d85cc7ce996e4978459cfe612c81987861b92de,c3628ca1977da1e4227976529106dca1c3d229dc0b3330a2f8ad0d3cb5b04f66
Case1016,A ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1016_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1016_label.nii.gz,512,0.306640625,157.0,512,0.306640625,157.0,333,0.44999998807907104,149.84999603033066,int16,1.0,-1024.0,LAS,mm,-1024.0,3071.0,-1024.0,-128.0,600.0,199758,0,4.231281168426904e-05,首选空间矩阵行列式,,710a919dea882a9befa0bb906fe013406553a3cc3c17224e9fe59321fab025ee,e30b3fa32586f84447c54044660937ea55a5c655cd34a86dead22e20ccf5eee9
Case1017,A ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1017_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1017_label.nii.gz,512,0.5859379768371582,300.000244140625,512,0.5859379768371582,300.000244140625,283,0.625,176.875,int16,1.0,-1024.0,LAS,mm,-3024.0,1358.0,-3024.0,-653.0,468.0,199965,0,0.0002145770704375138,首选空间矩阵行列式,,9b80a639b46c15eeac07f0be85433e2b2b1b0fab5ff07b3e72ae35a29ea8bacb,02882e78949d1050f8ae7afe4bbbe7ae4542e8cdd93d5eb9ac3593d21f6bff8a
Case1018,A ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1018_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1018_label.nii.gz,512,0.36523398756980896,186.9998016357422,512,0.36523398756980896,186.9998016357422,187,0.625,116.875,int16,1.0,-1024.0,LAS,mm,-3022.0,1503.0,-3022.0,-80.0,575.0,199273,0,8.33724160475896e-05,首选空间矩阵行列式,,a77f0319d0b59416bcf9a045776809049fc949c830b214746f5e01617bf7c76e,f750a833df211a0f99dd7ffb37eb73493a6c72c8bd21a29817d6df9594da567d
Case1019,A ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1019_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1019_label.nii.gz,512,0.4882810115814209,249.9998779296875,512,0.4882810115814209,249.9998779296875,297,0.625,185.625,int16,1.0,-1024.0,LAS,mm,-3022.0,3136.0,-3022.0,-775.0,497.0,199633,0,0.0001490114664193598,首选空间矩阵行列式,,1a59918f2e738b75259a1f7d4e7efa5470841d661a5f01884f2a5227c715b6b2,32e410d91a34f52bb43f7af31f81497e4460b90d8ecaaa55caed1dcbd363aee7
Case1020,A ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1020_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\A ct_train\Case1020_label.nii.gz,512,0.35546875,182.0,512,0.35546875,182.0,363,0.44999998807907104,163.3499956727028,int16,1.0,-1024.0,LAS,mm,-1024.0,3071.0,-1024.0,-111.0,617.0,199913,0,5.6861112995647984e-05,首选空间矩阵行列式,,d77ed6fbfed6f2a18a4c597f7626af640a90a88e8c3f7a38ce4a9268753047dd,df1d539ae79e0a0b307cb96f27a883dd97192f0217c5f072bfe32583b42075ec
Case2001,B ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2001_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2001_label.nii.gz,170,1.0,170.0,170,1.0,170.0,120,1.0,120.0,float32,1.0,0.0,LAS,mm,-1024.0,3071.0,-1020.5982165527344,-67.97232055664062,1051.3091992187494,192667,0,0.001,首选空间矩阵行列式,,3715c89e456cfca124ed05c17cdbd0cf874dc2c785cb43bb3e5abf7dee72d229,59ad65b2bf7c8559d0e4f2533270d4c6a75716daa6ca72a015564a168efee7ef
Case2002,B ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2002_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2002_label.nii.gz,184,1.0,184.0,184,1.0,184.0,144,1.0,144.0,float32,1.0,0.0,LAS,mm,-1024.0,3071.0,-1012.7546508789062,-130.83175659179688,957.3523803710937,195011,0,0.001,首选空间矩阵行列式,,bbaa3752dfd28bd76cf21d9449a18a3ac700d0d25081a908703103577f253318,f80e2e2f6c46d3b5c4d1c2df7551a5ad3e8516c0b76f39191aae53fb1211cb17
Case2003,B ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2003_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2003_label.nii.gz,167,1.0,167.0,167,1.0,167.0,143,1.0,143.0,float32,1.0,0.0,LAS,mm,-1024.0,3071.0,-1008.3601831054688,-79.42841339111328,753.1693261718751,199407,0,0.001,首选空间矩阵行列式,,9d6a8816431604c76f8f756e10ee854f4de05e8479c2b0b12bc522fe3600a7a1,dea8d833a43950db0237ca8b64f74b347f51353ca277a2afac4b3941c9b15b88
Case2004,B ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2004_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2004_label.nii.gz,223,1.0,223.0,223,1.0,223.0,164,1.0,164.0,float32,1.0,0.0,LAS,mm,-1024.0,3071.0,-1021.3168182373047,-48.71881675720215,592.439697265625,198916,0,0.001,首选空间矩阵行列式,,fc48d1016682b94165fa941284b1d870dbdaeb8263d0c5f884a2685ffd08e7cc,f64e947289a2d31bb774a096c4091d33d3bdb51efff47e3334af3fab87079ac5
Case2005,B ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2005_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2005_label.nii.gz,192,1.0,192.0,192,1.0,192.0,176,1.0,176.0,float32,1.0,0.0,LAS,mm,-1024.0,3071.0,-1018.3333129882812,-151.0,918.0,196608,0,0.001,首选空间矩阵行列式,,49a792f6317240e437e86fe64aeb837d2133650c06125821322bd2c19408172b,40ef7704dec040892489bd8a48244d25980a11408ba9212cc51e3f244b833e04
Case2006,B ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2006_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2006_label.nii.gz,175,1.0,175.0,175,1.0,175.0,138,1.0,138.0,float32,1.0,0.0,LAS,mm,-1024.0,3071.0,-1019.4056921386718,-118.74468231201172,766.1872497558597,192103,0,0.001,首选空间矩阵行列式,,ab0cdd0e5da02bbd7f4537f94de7f0488abedb0af83b617ec919189ee334a058,5c556c80d5b5b3fca36675c55b6bd764ea4fbde8593c1c70a869188c3f36a946
Case2007,B ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2007_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2007_label.nii.gz,187,1.0,187.0,187,1.0,187.0,129,1.0,129.0,float32,1.0,0.0,LAS,mm,-1023.943359375,1761.823486328125,-904.1236450195313,-74.07200622558594,591.8976135253931,196131,0,0.001,首选空间矩阵行列式,,04947a9ccd4b254eb2876d8ddac9705ad4220977b6663010f02bc476c51424f5,e8785169798cfbad3cb144c5808eea8d8a1a71517ba39d73e9ab53a85e7abf8a
Case2008,B ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2008_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2008_label.nii.gz,211,1.0,211.0,211,1.0,211.0,160,1.0,160.0,float32,1.0,0.0,LAS,mm,-1000.0,1735.537841796875,-1000.0,-32.54601287841797,702.072947998047,197872,0,0.001,首选空间矩阵行列式,,c791567a744261b13dd9fb2eab713e4cd98b4499e5759feed75819c986598162,a05e9d1b0a96bb19603db7f8a5383671c77087bac47c8354295c5ca2cf1e563e
Case2009,B ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2009_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2009_label.nii.gz,180,1.0,180.0,180,1.0,180.0,136,1.0,136.0,float32,1.0,0.0,无效,mm,-1023.9165649414062,3071.0,-1014.5443725585938,-22.212194442749023,759.4490039062493,191583,0,0.001,首选空间矩阵行列式,影像首选空间矩阵无效/奇异；不自动修复,1b4591b9df3aca66f0044a79e1007969d528b8d7648cb490359168b0a9b6888b,b22547ee53bb8985dfde208ea6c35ad44d59fe499886622d9a933c9a0e40c6ef
Case2010,B ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2010_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2010_label.nii.gz,181,1.0,181.0,148,1.0,148.0,121,1.0,121.0,float32,1.0,0.0,LAS,mm,-1023.60693359375,1439.205078125,-833.8835467529296,24.738317489624023,448.10243164062456,190668,0,0.001,首选空间矩阵行列式,,de42cbbd25581214b2d48de3202507e4c86f244f49d14e1ce4369b85aaeea203,ffd38bd439e6d913e21af8c13535da99038517012e1c67e3ca5ef94ebc158975
Case2011,B ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2011_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2011_label.nii.gz,168,1.0,168.0,168,1.0,168.0,131,1.0,131.0,float32,1.0,0.0,LAS,mm,-1024.0,3071.0,-1017.6463775634766,-756.2301635742188,1245.4285888671875,194598,0,0.001,首选空间矩阵行列式,,834cfa8c4b0e46e8468547b572ac0f2a336b760f3bcf20d6c8ba1180a65d66f4,17fb009bb3bbc29a3bb7b3b4bf0341140184e8a2a61d6b005475153c36c41b4c
Case2012,B ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2012_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2012_label.nii.gz,250,1.0,250.0,250,1.0,250.0,160,1.0,160.0,float32,1.0,0.0,LAS,mm,-1000.0,1559.545166015625,-1000.0,-280.45237731933594,702.7761169433595,200000,0,0.001,首选空间矩阵行列式,,6a9f44ff3903e0b6c38a69f5016993396357894250b167fdf267f6ecaf2d760e,41f568181ae2ae0fd63cbb93090456bca1ead5a70cad679a5d5e75e8740e95ea
Case2013,B ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2013_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2013_label.nii.gz,221,1.0,221.0,221,1.0,221.0,145,1.0,145.0,float32,1.0,0.0,LAS,mm,-1024.0,2247.109130859375,-1002.4483764648437,-56.501956939697266,660.8758666992168,196721,0,0.001,首选空间矩阵行列式,,44a8410a94350ad42d6842a033bae3ac0f4fd57da7eb430a6a60d1baf6487657,4ff3dda616898456b4bcd32cc87f609fea114f2cc275f2af2ff4721a75a4a5d1
Case2014,B ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2014_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2014_label.nii.gz,175,1.0,175.0,175,1.0,175.0,138,1.0,138.0,float32,1.0,0.0,LAS,mm,-1024.0,3071.0,-1019.7892419433593,-121.35951232910156,785.7025390625051,192103,0,0.001,首选空间矩阵行列式,,5c309ad4726579d6b5914ced5b460854fb22335d6a6c7e445025f68188f2d05d,b3973cb0a82843e20f9315f9095f5343c15f106c7afcd1fba63a8d8e0c18972c
Case2015,B ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2015_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2015_label.nii.gz,224,1.0,224.0,224,1.0,224.0,164,1.0,164.0,float32,1.0,0.0,LAS,mm,-1024.0,3071.0,-1024.0,35.0,971.8214111328125,195926,0,0.001,首选空间矩阵行列式,,3aaf5219b5b9057afc48d5edbc1a7ec33c2d4e734908e626272c26086a980693,ad9e4f2f90de2930a785f150da3d93ec7f3621ed6db764857df23034989b8f69
Case2016,B ct_train,CT,ok,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2016_image.nii.gz,D:\code_project\whole_heart\Wholeheart_Train_Dataset\B ct_train\Case2016_label.nii.gz,194,1.0,194.0,194,1.0,194.0,145,1.0,145.0,float32,1.0,0.0,LAS,mm,-1024.0,3071.0,-1017.4005737304688,-92.27792358398438,955.353515625,194901,0,0.001,首选空间矩阵行列式,,3fae5216b3466a74e9847fd7cc1cd6b511ba0c568426592028d6fb84fe839d2d,bdf17d542874d9c5ced236517fd1cfe1a8ee51f908a94fa979165c7034e7eb22
